"1","0.000000","1698367943.842013000","fe80::ac52:65ff:fe4b:3687","ff02::2","ICMPv6","70","Router Solicitation from ae:52:65:4b:36:87"
"144","42.647226","1698367986.489239000","172.20.0.2","172.20.0.3","TCP","7306","49112 → 41003 [PSH, ACK] Seq=89338 Ack=1477 Win=64256 Len=7240 TSval=3834337803 TSecr=1346143924"
"145","42.647270","1698367986.489283000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=96578 Win=185344 Len=0 TSval=1346144811 TSecr=3834337803"
"146","42.647280","1698367986.489293000","172.20.0.2","172.20.0.3","TCP","3576","49112 → 41003 [PSH, ACK] Seq=96578 Ack=1477 Win=64256 Len=3510 TSval=3834337803 TSecr=1346143924"
"147","42.647310","1698367986.489323000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=100088 Win=182912 Len=0 TSval=1346144811 TSecr=3834337803"
"148","42.758933","1698367986.600946000","172.20.0.2","172.20.0.3","TCP","6114","49112 → 41003 [PSH, ACK] Seq=100088 Ack=1477 Win=64256 Len=6048 TSval=3834337915 TSecr=1346144811"
"149","42.758977","1698367986.600990000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=106136 Win=185856 Len=0 TSval=1346144923 TSecr=3834337915"
"150","43.650773","1698367987.492786000","172.20.0.2","172.20.0.3","TCP","7306","49112 → 41003 [PSH, ACK] Seq=106136 Ack=1477 Win=64256 Len=7240 TSval=3834338806 TSecr=1346144923"
"151","43.650826","1698367987.492839000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=113376 Win=185344 Len=0 TSval=1346145814 TSecr=3834338806"
"152","43.650835","1698367987.492848000","172.20.0.2","172.20.0.3","TCP","3230","49112 → 41003 [PSH, ACK] Seq=113376 Ack=1477 Win=64256 Len=3164 TSval=3834338806 TSecr=1346144923"
"153","43.650866","1698367987.492879000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=116540 Win=183040 Len=0 TSval=1346145815 TSecr=3834338806"
"154","43.651051","1698367987.493064000","172.20.0.2","172.20.0.3","TCP","74","47678 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834338807 TSecr=0 WS=128"
"155","43.651119","1698367987.493132000","172.20.0.3","172.20.0.2","TCP","54","41002 → 47678 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"156","43.763285","1698367987.605298000","172.20.0.2","172.20.0.3","TCP","8463","49112 → 41003 [PSH, ACK] Seq=116540 Ack=1477 Win=64256 Len=8397 TSval=3834338919 TSecr=1346145815"
"157","43.763329","1698367987.605342000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=124937 Win=184704 Len=0 TSval=1346145927 TSecr=3834338919"
"158","44.765484","1698367988.607497000","172.20.0.2","172.20.0.3","TCP","6786","49112 → 41003 [PSH, ACK] Seq=124937 Ack=1477 Win=64256 Len=6720 TSval=3834339921 TSecr=1346145927"
"159","44.765533","1698367988.607546000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=131657 Win=185600 Len=0 TSval=1346146929 TSecr=3834339921"
"160","44.874935","1698367988.716948000","172.20.0.2","172.20.0.3","TCP","74","47684 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834340031 TSecr=0 WS=128"
"161","44.875005","1698367988.717018000","172.20.0.3","172.20.0.2","TCP","54","41002 → 47684 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"162","45.666957","1698367989.508970000","172.20.0.2","172.20.0.3","TCP","7306","49112 → 41003 [PSH, ACK] Seq=131657 Ack=1477 Win=64256 Len=7240 TSval=3834340823 TSecr=1346146929"
"163","45.667022","1698367989.509035000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=138897 Win=185344 Len=0 TSval=1346147831 TSecr=3834340823"
"164","45.667032","1698367989.509045000","172.20.0.2","172.20.0.3","TCP","3577","49112 → 41003 [PSH, ACK] Seq=138897 Ack=1477 Win=64256 Len=3511 TSval=3834340823 TSecr=1346146929"
"165","45.667060","1698367989.509073000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=142408 Win=182912 Len=0 TSval=1346147831 TSecr=3834340823"
"166","45.778564","1698367989.620577000","172.20.0.2","172.20.0.3","TCP","6114","49112 → 41003 [PSH, ACK] Seq=142408 Ack=1477 Win=64256 Len=6048 TSval=3834340934 TSecr=1346147831"
"167","45.778615","1698367989.620628000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=148456 Win=185856 Len=0 TSval=1346147942 TSecr=3834340934"
"168","45.997076","1698367989.839089000","172.20.0.2","172.20.0.3","TCP","74","47698 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834341153 TSecr=0 WS=128"
"169","45.997144","1698367989.839157000","172.20.0.3","172.20.0.2","TCP","54","41002 → 47698 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"170","46.676129","1698367990.518142000","172.20.0.2","172.20.0.3","TCP","7306","49112 → 41003 [PSH, ACK] Seq=148456 Ack=1477 Win=64256 Len=7240 TSval=3834341832 TSecr=1346147942"
"171","46.676183","1698367990.518196000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=155696 Win=185344 Len=0 TSval=1346148840 TSecr=3834341832"
"172","46.676192","1698367990.518205000","172.20.0.2","172.20.0.3","TCP","3577","49112 → 41003 [PSH, ACK] Seq=155696 Ack=1477 Win=64256 Len=3511 TSval=3834341832 TSecr=1346147942"
"173","46.676217","1698367990.518230000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=159207 Win=182912 Len=0 TSval=1346148840 TSecr=3834341832"
"174","46.787196","1698367990.629209000","172.20.0.2","172.20.0.3","TCP","4770","49112 → 41003 [PSH, ACK] Seq=159207 Ack=1477 Win=64256 Len=4704 TSval=3834341943 TSecr=1346148840"
"175","46.787240","1698367990.629253000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=163911 Win=186496 Len=0 TSval=1346148951 TSecr=3834341943"
"176","47.114926","1698367990.956939000","172.20.0.2","172.20.0.3","TCP","74","47704 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834342271 TSecr=0 WS=128"
"177","47.115005","1698367990.957018000","172.20.0.3","172.20.0.2","TCP","54","41002 → 47704 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"178","47.678777","1698367991.520790000","172.20.0.2","172.20.0.3","TCP","7306","49112 → 41003 [PSH, ACK] Seq=163911 Ack=1477 Win=64256 Len=7240 TSval=3834342834 TSecr=1346148951"
"179","47.678824","1698367991.520837000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=171151 Win=185344 Len=0 TSval=1346149842 TSecr=3834342834"
"180","47.678833","1698367991.520846000","172.20.0.2","172.20.0.3","TCP","3576","49112 → 41003 [PSH, ACK] Seq=171151 Ack=1477 Win=64256 Len=3510 TSval=3834342834 TSecr=1346148951"
"181","47.678866","1698367991.520879000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=174661 Win=182912 Len=0 TSval=1346149843 TSecr=3834342834"
"182","47.792141","1698367991.634154000","172.20.0.2","172.20.0.3","TCP","6910","49112 → 41003 [PSH, ACK] Seq=174661 Ack=1477 Win=64256 Len=6844 TSval=3834342948 TSecr=1346149843"
"183","47.792207","1698367991.634220000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=181505 Win=185472 Len=0 TSval=1346149956 TSecr=3834342948"
"184","48.229178","1698367992.071191000","172.20.0.2","172.20.0.3","TCP","74","47706 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834343385 TSecr=0 WS=128"
"185","48.229252","1698367992.071265000","172.20.0.3","172.20.0.2","TCP","54","41002 → 47706 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"186","48.683171","1698367992.525184000","172.20.0.2","172.20.0.3","TCP","7306","49112 → 41003 [PSH, ACK] Seq=181505 Ack=1477 Win=64256 Len=7240 TSval=3834343839 TSecr=1346149956"
"187","48.683218","1698367992.525231000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=188745 Win=185344 Len=0 TSval=1346150847 TSecr=3834343839"
"188","48.683234","1698367992.525247000","172.20.0.2","172.20.0.3","TCP","3441","49112 → 41003 [PSH, ACK] Seq=188745 Ack=1477 Win=64256 Len=3375 TSval=3834343839 TSecr=1346149956"
"189","48.683260","1698367992.525273000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=192120 Win=182912 Len=0 TSval=1346150847 TSecr=3834343839"
"190","48.796250","1698367992.638263000","172.20.0.2","172.20.0.3","TCP","7458","49112 → 41003 [PSH, ACK] Seq=192120 Ack=1477 Win=64256 Len=7392 TSval=3834343952 TSecr=1346150847"
"191","48.796302","1698367992.638315000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=199512 Win=180864 Len=0 TSval=1346150960 TSecr=3834343952"
"192","49.342314","1698367993.184327000","172.20.0.2","172.20.0.3","TCP","74","47716 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834344498 TSecr=0 WS=128"
"193","49.342383","1698367993.184396000","172.20.0.3","172.20.0.2","TCP","54","41002 → 47716 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"194","49.694279","1698367993.536292000","172.20.0.2","172.20.0.3","TCP","7306","49112 → 41003 [PSH, ACK] Seq=199512 Ack=1477 Win=64256 Len=7240 TSval=3834344850 TSecr=1346150960"
"195","49.694325","1698367993.536338000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=206752 Win=185344 Len=0 TSval=1346151858 TSecr=3834344850"
"196","49.694334","1698367993.536347000","172.20.0.2","172.20.0.3","TCP","3577","49112 → 41003 [PSH, ACK] Seq=206752 Ack=1477 Win=64256 Len=3511 TSval=3834344850 TSecr=1346150960"
"197","49.694368","1698367993.536381000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=210263 Win=182912 Len=0 TSval=1346151858 TSecr=3834344850"
"198","49.805719","1698367993.647732000","172.20.0.2","172.20.0.3","TCP","6114","49112 → 41003 [PSH, ACK] Seq=210263 Ack=1477 Win=64256 Len=6048 TSval=3834344961 TSecr=1346151858"
"199","49.805769","1698367993.647782000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=216311 Win=185856 Len=0 TSval=1346151969 TSecr=3834344961"
"200","50.460897","1698367994.302910000","172.20.0.2","172.20.0.3","TCP","74","47720 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834345617 TSecr=0 WS=128"
"201","50.460962","1698367994.302975000","172.20.0.3","172.20.0.2","TCP","54","41002 → 47720 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"202","50.700906","1698367994.542919000","172.20.0.2","172.20.0.3","TCP","7306","49112 → 41003 [PSH, ACK] Seq=216311 Ack=1477 Win=64256 Len=7240 TSval=3834345857 TSecr=1346151969"
"203","50.700977","1698367994.542990000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=223551 Win=185344 Len=0 TSval=1346152865 TSecr=3834345857"
"204","50.700992","1698367994.543005000","172.20.0.2","172.20.0.3","TCP","3576","49112 → 41003 [PSH, ACK] Seq=223551 Ack=1477 Win=64256 Len=3510 TSval=3834345857 TSecr=1346151969"
"205","50.701020","1698367994.543033000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=227061 Win=182912 Len=0 TSval=1346152865 TSecr=3834345857"
"206","50.814011","1698367994.656024000","172.20.0.2","172.20.0.3","TCP","6450","49112 → 41003 [PSH, ACK] Seq=227061 Ack=1477 Win=64256 Len=6384 TSval=3834345970 TSecr=1346152865"
"207","50.814080","1698367994.656093000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=233445 Win=185728 Len=0 TSval=1346152978 TSecr=3834345970"
"208","51.578588","1698367995.420601000","172.20.0.2","172.20.0.3","TCP","74","46644 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834346734 TSecr=0 WS=128"
"209","51.578658","1698367995.420671000","172.20.0.3","172.20.0.2","TCP","54","41002 → 46644 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"210","51.702952","1698367995.544965000","172.20.0.2","172.20.0.3","TCP","7306","49112 → 41003 [PSH, ACK] Seq=233445 Ack=1477 Win=64256 Len=7240 TSval=3834346859 TSecr=1346152978"
"211","51.703004","1698367995.545017000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=240685 Win=185344 Len=0 TSval=1346153867 TSecr=3834346859"
"212","51.703012","1698367995.545025000","172.20.0.2","172.20.0.3","TCP","3577","49112 → 41003 [PSH, ACK] Seq=240685 Ack=1477 Win=64256 Len=3511 TSval=3834346859 TSecr=1346152978"
"213","51.703037","1698367995.545050000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=244196 Win=182912 Len=0 TSval=1346153867 TSecr=3834346859"
"214","51.812822","1698367995.654835000","172.20.0.2","172.20.0.3","TCP","738","49112 → 41003 [PSH, ACK] Seq=244196 Ack=1477 Win=64256 Len=672 TSval=3834346968 TSecr=1346153867"
"215","51.812865","1698367995.654878000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=244868 Win=188544 Len=0 TSval=1346153977 TSecr=3834346968"
"216","52.713385","1698367996.555398000","172.20.0.2","172.20.0.3","TCP","7306","49112 → 41003 [PSH, ACK] Seq=244868 Ack=1477 Win=64256 Len=7240 TSval=3834347869 TSecr=1346153977"
"217","52.713437","1698367996.555450000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=252108 Win=185344 Len=0 TSval=1346154877 TSecr=3834347869"
"218","52.713447","1698367996.555460000","172.20.0.2","172.20.0.3","TCP","3576","49112 → 41003 [PSH, ACK] Seq=252108 Ack=1477 Win=64256 Len=3510 TSval=3834347869 TSecr=1346153977"
"219","52.713475","1698367996.555488000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=255618 Win=182912 Len=0 TSval=1346154877 TSecr=3834347869"
"220","52.713650","1698367996.555663000","172.20.0.2","172.20.0.3","TCP","74","46648 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834347869 TSecr=0 WS=128"
"221","52.713720","1698367996.555733000","172.20.0.3","172.20.0.2","TCP","54","41002 → 46648 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"222","52.825656","1698367996.667669000","172.20.0.2","172.20.0.3","TCP","6910","49112 → 41003 [PSH, ACK] Seq=255618 Ack=1477 Win=64256 Len=6844 TSval=3834347981 TSecr=1346154877"
"223","52.825706","1698367996.667719000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=262462 Win=185472 Len=0 TSval=1346154989 TSecr=3834347981"
"224","53.720748","1698367997.562761000","172.20.0.2","172.20.0.3","TCP","7306","49112 → 41003 [PSH, ACK] Seq=262462 Ack=1477 Win=64256 Len=7240 TSval=3834348876 TSecr=1346154989"
"225","53.720818","1698367997.562831000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=269702 Win=185344 Len=0 TSval=1346155884 TSecr=3834348876"
"226","53.720834","1698367997.562847000","172.20.0.2","172.20.0.3","TCP","3440","49112 → 41003 [PSH, ACK] Seq=269702 Ack=1477 Win=64256 Len=3374 TSval=3834348876 TSecr=1346154989"
"227","53.720864","1698367997.562877000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=273076 Win=182912 Len=0 TSval=1346155885 TSecr=3834348876"
"228","53.832882","1698367997.674895000","172.20.0.2","172.20.0.3","TCP","7794","49112 → 41003 [PSH, ACK] Seq=273076 Ack=1477 Win=64256 Len=7728 TSval=3834348989 TSecr=1346155885"
"229","53.832922","1698367997.674935000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=280804 Win=185088 Len=0 TSval=1346155997 TSecr=3834348989"
"230","53.833078","1698367997.675091000","172.20.0.2","172.20.0.3","TCP","74","46664 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834348989 TSecr=0 WS=128"
"231","53.833132","1698367997.675145000","172.20.0.3","172.20.0.2","TCP","54","41002 → 46664 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"232","54.729502","1698367998.571515000","172.20.0.2","172.20.0.3","TCP","7306","49112 → 41003 [PSH, ACK] Seq=280804 Ack=1477 Win=64256 Len=7240 TSval=3834349885 TSecr=1346155997"
"233","54.729569","1698367998.571582000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=288044 Win=185344 Len=0 TSval=1346156893 TSecr=3834349885"
"234","54.729584","1698367998.571597000","172.20.0.2","172.20.0.3","TCP","4869","49112 → 41003 [PSH, ACK] Seq=288044 Ack=1477 Win=64256 Len=4803 TSval=3834349885 TSecr=1346155997"
"235","54.729613","1698367998.571626000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=292847 Win=182272 Len=0 TSval=1346156893 TSecr=3834349885"
"236","54.839272","1698367998.681285000","172.20.0.2","172.20.0.3","TCP","3371","49112 → 41003 [PSH, ACK] Seq=292847 Ack=1477 Win=64256 Len=3305 TSval=3834349995 TSecr=1346156893"
"237","54.839313","1698367998.681326000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1477 Ack=296152 Win=187264 Len=0 TSval=1346157003 TSecr=3834349995"
"238","54.948665","1698367998.790678000","172.20.0.2","172.20.0.3","TCP","74","46672 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834350104 TSecr=0 WS=128"
"239","54.948736","1698367998.790749000","172.20.0.3","172.20.0.2","TCP","54","41002 → 46672 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"240","55.492655","1698367999.334668000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [FIN, ACK] Seq=1477 Ack=296152 Win=188544 Len=0 TSval=1346157656 TSecr=3834349995"
"241","55.496153","1698367999.338166000","172.20.0.2","172.20.0.3","TCP","66","49112 → 41003 [FIN, ACK] Seq=296152 Ack=1478 Win=64256 Len=0 TSval=3834350652 TSecr=1346157656"
"242","55.496260","1698367999.338273000","172.20.0.3","172.20.0.2","TCP","66","41003 → 49112 [ACK] Seq=1478 Ack=296153 Win=188544 Len=0 TSval=1346157660 TSecr=3834350652"
"243","55.948954","1698367999.790967000","172.20.0.2","172.20.0.3","TCP","74","46680 → 41002 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834351105 TSecr=0 WS=128"
"244","55.949059","1698367999.791072000","172.20.0.3","172.20.0.2","TCP","54","41002 → 46680 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
"245","55.949144","1698367999.791157000","172.20.0.2","172.20.0.3","TCP","74","53110 → 41003 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 SACK_PERM TSval=3834351105 TSecr=0 WS=128"
"246","55.949180","1698367999.791193000","172.20.0.3","172.20.0.2","TCP","54","41003 → 53110 [RST, ACK] Seq=1 Ack=1 Win=0 Len=0"
